,Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Other.5, Other.6, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other.7, Timestamp (Formatted)
10,14.0,85418.08550573415,110623.70069309484,0.0,-187500.02235174447,-41721.16270317587,-51849.74394437599,-48615.53592867088,-54762.422116091504,-52110.05236030249,187500.0,-21851.84769056412,-43331.49413245847,-52956.28940538042,-60277.44683950506,0.0,-24246.099501383247,0.208,0.926,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.965959,0.0, 2022-03-22 22:51:41.965
11,16.0,86312.73642930227,101224.18865253792,0.0,-187500.02235174447,-42969.26176181576,-52200.64398057985,-49216.26141265171,-53829.39324729362,-52938.40800981617,187500.0,-22488.961814518192,-44208.17425348452,-53592.8000322342,-60961.924309959926,0.0,-24339.1945170396,0.208,0.926,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.974578,0.0, 2022-03-22 22:51:41.974
12,18.0,85988.45732074468,95419.86530063931,0.0,-187500.02235174447,-41430.43356304569,-51371.349557799054,-48202.56509811463,-54124.14570142576,-52091.634522871325,187500.0,-21489.481209454683,-43368.73213872101,-52584.065804966194,-60048.766141982815,0.0,-23865.24812760927,0.216,0.932,0.206,192.0,3.0,96.0,14.5,16.0,3.0,56.0,0.0,0.0,0.0,1647985901.981455,0.0, 2022-03-22 22:51:41.981
13,20.0,85609.32703129375,114569.58825225692,0.0,-187500.02235174447,-42695.49759572716,-52381.98368334576,-49269.54797143316,-54600.30491355717,-52634.93837534647,187500.0,-22444.258325607578,-43850.59104568852,-53553.86329339306,-60825.01987517117,0.0,-24524.33401636291,0.216,0.932,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.987993,0.0, 2022-03-22 22:51:41.987
14,22.0,86566.16050793654,89313.10049451597,0.0,-187500.02235174447,-42266.20999171853,-51618.67161019702,-48601.81195757532,-53519.55336565416,-52571.83940074914,187500.0,-21870.24317625084,-43876.027330878656,-52958.3010623814,-60450.33758286687,0.0,-23936.39373021051,0.216,0.932,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985901.996104,0.0, 2022-03-22 22:51:41.996
15,24.0,85417.72787782286,110504.02945328112,0.0,-187500.02235174447,-41709.47274082575,-51845.5418164184,-48608.85275707874,-54755.62718577709,-52110.83467135843,187500.0,-21834.07805372215,-43342.15591456365,-52946.14171339771,-60272.44004874707,0.0,-24239.55044025784,0.216,0.932,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.003837,0.0, 2022-03-22 22:51:42.003
16,26.0,86312.91524325791,101371.37488977613,0.0,-187500.02235174447,-42948.09465981658,-52206.5224893716,-49206.672514280384,-53829.95204090501,-52935.1446551257,187500.0,-22481.764552803583,-44218.54546291178,-53593.71645375687,-60961.387868093,0.0,-24338.5463164504,0.216,0.932,0.206,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.011165,0.0, 2022-03-22 22:51:42.011
17,28.0,85995.27460280355,95239.28555718488,0.0,-187500.02235174447,-41416.84370241687,-51368.86851416451,-48195.12196721101,-54109.03592217397,-52086.35951117987,187500.0,-21480.58521516147,-43392.42498784363,-52580.288360153245,-60059.472627576906,0.0,-23862.38710431899,0.214,0.93,0.214,192.0,3.0,88.0,14.5,8.0,3.0,88.0,0.0,0.0,0.0,1647985902.017489,0.0, 2022-03-22 22:51:42.017
18,30.0,85591.37858049615,114640.7115031137,0.0,-187500.02235174447,-42677.28092399608,-52388.68920668235,-49272.16312553443,-54609.87146018404,-52621.41556995101,187500.0,-22441.30789533948,-43868.472441252765,-53548.05183983468,-60831.56893629658,0.0,-24519.863667471847,0.214,0.93,0.214,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.025601,0.0, 2022-03-22 22:51:42.025
19,32.0,86570.67556031652,89367.16936435335,0.0,-187500.02235174447,-42265.85236380725,-51626.51707250084,-48610.26091697942,-53520.29097322119,-52568.82191524768,187500.0,-21882.13430430106,-43907.38682834945,-52970.95214974311,-60473.762211056026,0.0,-23946.541422193222,0.214,0.93,0.214,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.034132,0.0, 2022-03-22 22:51:42.034
20,34.0,85428.27790120577,110338.17950942271,0.0,-187500.02235174447,-41696.01699066365,-51831.77314183392,-48607.13167275568,-54750.26276710782,-52089.39934842579,187500.0,-21823.192754172414,-43346.98389136599,-52931.90365217968,-60267.41090624463,0.0,-24237.717597212508,0.214,0.93,0.214,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.040661,0.0, 2022-03-22 22:51:42.040
21,36.0,86306.81321702161,101536.62133653418,0.0,-187500.02235174447,-42959.67286344444,-52214.50206214214,-49220.12826444248,-53838.244538097926,-52928.61794574475,187500.0,-22490.705250585703,-44225.072172292734,-53587.07798565364,-60967.40048735148,0.0,-24347.464662488062,0.214,0.93,0.214,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.048269,0.0, 2022-03-22 22:51:42.048
22,38.0,86015.48057979114,95045.51828450184,0.0,-187500.02235174447,-41417.44719951716,-51366.34276704106,-48172.88198147798,-54091.6686167322,-52087.18652572472,187500.0,-21488.475380954194,-43399.91282223616,-52568.35252861411,-60064.97115671291,0.0,-23861.69420024088,0.204,0.92,0.212,192.0,3.0,48.0,14.0,96.0,3.0,80.0,0.0,0.0,0.0,1647985902.05616,0.0, 2022-03-22 22:51:42.056
23,40.0,85585.96945833796,114652.60263116391,0.0,-187500.02235174447,-42663.0205110336,-52398.50162249823,-49258.57326490561,-54624.26598361325,-52618.666305383005,187500.0,-22443.073683151448,-43864.82910690655,-53551.605767203066,-60831.36777059648,0.0,-24518.70137676017,0.204,0.92,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.064344,0.0, 2022-03-22 22:51:42.064
24,42.0,86563.07596720172,89416.52201611067,0.0,-187500.02235174447,-42277.09529126827,-51639.01169765135,-48613.568975158814,-53514.72538885181,-52583.55171484372,187500.0,-21902.96613013341,-43924.57531983558,-52996.79076633343,-60495.35399619985,0.0,-23946.20614602639,0.204,0.92,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.070287,0.0, 2022-03-22 22:51:42.070
25,44.0,85428.65788086152,110178.6551092452,0.0,-187500.02235174447,-41691.65840049487,-51824.95585977505,-48588.49031787996,-54737.90225242404,-52097.98241829663,187500.0,-21833.429853132948,-43354.89640890317,-52935.770503970445,-60273.44587724756,0.0,-24227.256980807422,0.204,0.92,0.212,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647985902.085916,0.0, 2022-03-22 22:51:42.085
